region,assets_18,assets_17,bank_capital_18,bank_capital_17,net_income_18,net_income_17,credit_portfolio_18,credit_portfolio_17,ranking_multi
1,31194652.0,31579525.0,5974480.0,6639631.0,-520474.0,80437.0,14314705.0,10962675.0,0
0,36834437.0,32994831.0,5790800.0,6451176.0,204348.0,843893.0,26730546.0,21762449.0,2
1,106145415.0,87854311.0,21762648.0,23431647.0,-1616509.0,-59004.0,32383090.0,28238402.0,1
1,7888156.0,6474884.0,1415459.0,1550218.0,-35159.0,-148909.0,2169627.0,3127421.0,0
0,23668617.0,22780297.0,5055211.0,4051173.0,636588.0,290892.0,18036398.0,18454337.0,1
0,19453156.0,20149881.0,2479852.0,2613443.0,-59301.0,161132.0,7272969.0,6385878.0,0
0,33739180.0,30414621.0,5202978.0,5177502.0,422559.0,292199.0,14089684.0,11697578.0,2
0,60090525.0,53941807.0,7762772.0,6586021.0,1383848.0,1460222.0,42842488.0,35995540.0,2
0,33035795.0,31087308.0,3202330.0,3291115.0,448402.0,425198.0,9820034.0,9193294.0,1
0,2345267.0,2039210.0,436821.0,379430.0,22835.0,-16441.0,1020983.0,225875.0,1
1,11319028.0,7351095.0,2991573.0,2532439.0,72723.0,200942.0,43063.0,23465.0,2
0,26436286.0,24081836.0,4153036.0,3635090.0,463968.0,444423.0,15520596.0,15527134.0,2
1,2657206.0,2356329.0,1024807.0,709641.0,55595.0,64570.0,847029.0,774849.0,0
0,24901136.0,23509847.0,2966134.0,2981892.0,99294.0,129427.0,15338143.0,13727470.0,2
1,39142140.0,32292473.0,7137452.0,7013408.0,255266.0,783808.0,7315503.0,5423353.0,2
0,3848610.0,3382220.0,644478.0,606773.0,115313.0,60306.0,2089993.0,2243460.0,0
0,2432878.0,2383353.0,437723.0,435141.0,49571.0,32613.0,1549739.0,1569681.0,0
1,17885752.0,15116023.0,2850582.0,2474665.0,50624.0,211653.0,5108630.0,8701388.0,2
1,638082756.0,431027296.0,131039699.0,123417185.0,10001868.0,6607169.0,291350948.0,200361254.0,2
1,269921713.0,266528968.0,30708925.0,29891134.0,169832.0,3023511.0,185902834.0,169355156.0,2
0,19694874.0,17353361.0,2331635.0,2151569.0,316522.0,290955.0,9515725.0,7689146.0,2
1,8264275.0,8257444.0,1382476.0,1366919.0,58642.0,106585.0,3399890.0,4115007.0,1
1,1057479732.0,870017477.0,151177362.0,132618818.0,22236908.0,21613055.0,681897730.0,574624599.0,2
0,62781351.0,50715833.0,3861584.0,3749349.0,610530.0,390644.0,17306824.0,14485144.0,2
0,29104124.0,28585074.0,3357209.0,2895366.0,-396789.0,-983521.0,19348670.0,20416824.0,1
0,663086779.0,591946236.0,73868050.0,70964161.0,4816354.0,3848389.0,374410913.0,332410612.0,2
0,2704366.0,2739002.0,583567.0,714111.0,-122524.0,-4885.0,631876.0,1277937.0,0
1,22807918.0,10484960.0,2649496.0,1748502.0,-168052.0,-23866.0,20302011.0,9397013.0,2
0,10832432.0,11100650.0,1980117.0,1666944.0,-157443.0,-62513.0,6663228.0,6590821.0,0
0,8289794.0,8266503.0,1287901.0,1276596.0,157495.0,122240.0,3176922.0,3919512.0,0
1,1652978.0,1814822.0,419243.0,423193.0,-5509.0,3504.0,738625.0,688913.0,0
0,8400123.0,7966840.0,1268838.0,1236809.0,56534.0,80578.0,1643506.0,1726711.0,1
1,1451826589.0,1172446752.0,215020330.0,201066597.0,19846148.0,28041971.0,827291142.0,697336480.0,2
1,169538636.0,159429294.0,24099935.0,23336266.0,3540454.0,3036951.0,92311037.0,79614337.0,2
0,50794102.0,31607227.0,4727947.0,5105966.0,385083.0,383245.0,8006632.0,7255706.0,1
0,10607725.0,10343110.0,1557426.0,1458844.0,319966.0,76157.0,4805216.0,5375502.0,1
1,18497887.0,19636980.0,7927691.0,7162750.0,329651.0,477498.0,5676860.0,5349827.0,2
1,38189483.0,23792679.0,10328718.0,9450674.0,6985.0,57828.0,19186172.0,10886538.0,1
1,260609462.0,335514006.0,9354606.0,34376544.0,8106028.0,-13968296.0,99405870.0,164389573.0,2
1,88221412.0,145082304.0,13519356.0,21260395.0,-5604700.0,-759511.0,9754781.0,14213032.0,2
0,978765040.0,697561010.0,104334534.0,65505494.0,17552961.0,10593527.0,377618358.0,173403780.0,2
0,7181821.0,7818851.0,1027478.0,1156936.0,-17963.0,-54339.0,2512944.0,2737327.0,0
1,2851813.0,3505357.0,1293514.0,1170241.0,38221.0,9487.0,1226826.0,2169386.0,0
0,42763121.0,37038064.0,6827324.0,6774843.0,509992.0,850621.0,4665047.0,4115288.0,1
0,43139617.0,42555939.0,6765163.0,6547823.0,1271968.0,1094354.0,15353713.0,15620459.0,2
0,15733493.0,14856065.0,3067309.0,3375983.0,201794.0,258509.0,8743382.0,9588368.0,1
0,22328057.0,22820875.0,7927526.0,7193491.0,713885.0,841317.0,12750247.0,11765870.0,1
0,63826345.0,63369565.0,18608931.0,22362935.0,1633799.0,3027512.0,23662223.0,17498586.0,2
1,1035022.0,1802639.0,367993.0,355503.0,21976.0,5523.0,405871.0,302079.0,0
0,4707077.0,5126006.0,1396601.0,1339111.0,76166.0,73949.0,904367.0,1247830.0,0
0,5828225.0,5739746.0,720075.0,751989.0,25674.0,49165.0,3628972.0,3306902.0,0
0,123848821.0,137645187.0,22938439.0,22573539.0,1895217.0,2144738.0,15702407.0,47084167.0,2
1,3184381.0,3231813.0,1542856.0,1493119.0,27046.0,203241.0,1714556.0,1641836.0,0
0,4083095.0,4094286.0,460504.0,446771.0,47506.0,49495.0,1934711.0,1891866.0,1
0,4219855.0,4042566.0,554197.0,508406.0,4487.0,10413.0,3062135.0,2763568.0,0
1,2563836.0,4201083.0,1047705.0,855391.0,82490.0,161040.0,301000.0,250106.0,0
0,9954034.0,9437624.0,1285336.0,1171255.0,170441.0,121693.0,5147148.0,5508346.0,1
1,21590363.0,24575016.0,3810378.0,4535213.0,-1404964.0,-1140261.0,7529772.0,4708231.0,0
